Node[0] RA1,Node[0] RA2,node[1] RA1,node[1] RA2,node[2] RA1,node[2] RA2,node[3] RA1,node[3] RA2,node[4] RA1,node[4] RA2,node[5] RA1,node[5] RA2,node[6] RA1,node[6] RA2,node[7] RA1,node[7] RA2,node[8] RA1,node[8] RA2,node[9] RA1,node[9] RA2
61.7021276596,71.4285714286,95.7446808511,100,62.5,14.2857142857,100,100,97.8723404255,100,77.0833333333,37.5,100,100,91.4893617021,100,95.8333333333,100,93.6170212766,100
39.4736842105,33.3333333333,92,97.7777777778,44,48.8888888889,100,100,98.6842105263,84.4444444444,65.7894736842,62.2222222222,98.6666666667,97.7777777778,100,100,96.0526315789,97.7777777778,100,88.8888888889
30,22.2222222222,100,88.8888888889,40,33.3333333333,80,100,100,100,80,77.7777777778,100,100,100,100,100,100,100,100
51.5151515152,25,100,100,62.5,87.5,93.75,87.5,96.9696969697,100,56.25,87.5,100,100,96.875,100,96.875,100,100,100
69.7674418605,76.9230769231,95.3488372093,92.3076923077,38.6363636364,75,100,100,97.6744186047,91.6666666667,75,66.6666666667,100,100,100,100,100,100,100,100
28.5714285714,42.5,92.8571428571,92.3076923077,21.4285714286,35,100,100,100,87.5,23.0769230769,48.7179487179,100,97.5,100,94.8717948718,100,97.5,100,100
14.2857142857,62.5,100,79.1666666667,21.4285714286,37.5,100,100,100,100,42.8571428571,70.8333333333,92.8571428571,96,100,96,100,96,100,100
55.2631578947,78.4615384615,79.4871794872,80,38.4615384615,38.4615384615,97.4358974359,95.3125,97.4358974359,100,46.1538461538,47.6923076923,97.4358974359,100,94.8717948718,85.9375,100,98.4615384615,97.4358974359,100
58.9743589744,42.5,100,92.3076923077,48.7179487179,25,100,97.5,100,100,72.5,27.5,100,100,100,97.5,100,100,100,100
50,17.3913043478,100,95.8333333333,30.6451612903,47.8260869565,96.7741935484,100,100,95.652173913,50.8196721311,62.5,100,100,83.8709677419,95.8333333333,100,100,98.3870967742,86.9565217391
56.4102564103,42,97.4683544304,92,44.8717948718,18,98.7341772152,100,98.7341772152,100,52.5641025641,37.2549019608,100,100,100,100,98.7341772152,100,98.7341772152,100
45.4545454545,46.6666666667,100,91.1111111111,54.5454545455,34.7826086957,95.4545454545,100,95.4545454545,95.652173913,50,26.0869565217,95.652173913,100,100,100,95.4545454545,93.3333333333,100,100
66.6666666667,,97.2222222222,,64.8648648649,,91.8918918919,,97.2972972973,,37.8378378378,,100,,100,,100,,94.5945945946,
91.6666666667,,91.6666666667,,45.8333333333,,100,,95.8333333333,,91.6666666667,,100,,95.8333333333,,100,,100,
